iter	Passed	Remaining
444	655	817
445	656	815
446	658	814
447	659	812
448	660	810
449	661	808
450	662	807
451	664	805
452	665	803
453	666	801
454	667	800
455	669	798
456	670	797
457	672	795
458	673	793
459	674	792
460	675	789
461	676	788
462	678	786
463	679	785
464	680	783
465	681	781
466	682	779
467	684	777
468	685	776
469	686	774
470	688	772
471	689	770
472	690	769
473	691	767
474	692	765
475	694	764
476	695	762
477	696	761
478	698	759
479	699	757
480	700	755
481	701	753
482	702	752
483	703	750
484	704	748
485	705	746
486	707	745
487	708	743
488	709	741
489	711	740
490	712	738
491	713	736
492	714	735
493	716	733
494	717	732
495	718	730
496	720	728
497	721	727
498	722	725
499	723	723
500	725	722
501	726	720
502	727	718
503	728	716
504	729	715
505	730	713
506	731	711
507	732	709
508	734	708
509	735	706
510	736	704
511	738	703
512	739	701
513	740	700
514	741	698
515	742	696
516	744	695
517	745	693
518	746	692
519	748	690
520	749	689
521	751	687
522	752	686
523	753	684
524	754	682
525	756	681
526	757	679
527	758	678
528	759	676
529	761	675
530	762	673
531	764	672
532	765	670
533	766	669
534	768	667
535	769	665
536	770	664
537	771	662
538	773	661
539	774	659
540	775	658
541	777	656
542	778	655
543	780	653
544	781	652
545	782	650
546	783	648
547	784	647
548	786	645
549	787	644
550	788	642
551	790	641
552	791	639
553	793	638
554	794	636
555	795	635
556	797	634
557	798	632
558	799	631
559	801	629
560	802	628
561	804	626
562	805	625
563	806	623
564	808	622
565	809	620
566	810	618
567	811	617
568	812	615
569	814	614
570	816	613
571	817	611
572	818	610
573	821	609
574	822	607
575	823	606
576	825	605
577	826	603
578	827	602
579	829	600
580	830	598
581	831	597
582	832	595
583	833	594
584	834	592
585	835	590
586	837	589
587	838	587
588	839	586
589	841	584
590	842	583
591	843	581
592	844	579
593	846	578
594	847	576
595	848	575
596	849	573
597	850	571
598	851	570
599	853	568
600	854	567
601	855	565
602	856	564
603	858	562
604	859	561
605	860	559
606	861	557
607	862	556
608	863	554
609	864	553
610	866	551
611	867	550
612	868	548
613	870	547
614	871	545
615	872	544
616	874	542
617	875	540
618	876	539
619	877	537
620	878	536
621	879	534
622	880	532
623	881	531
624	883	529
625	884	528
626	885	526
627	886	525
628	887	523
629	889	522
630	890	520
631	891	519
632	892	517
633	893	516
634	895	514
635	896	512
636	897	511
637	899	510
638	900	508
639	901	507
640	903	505
641	904	504
642	905	502
643	906	501
644	908	499
645	909	498
646	910	496
647	911	495
648	912	493
649	914	492
650	915	490
651	916	489
652	917	487
653	919	486
654	920	484
655	922	483
656	923	482
657	924	480
658	926	479
659	927	477
660	928	476
661	930	474
662	931	473
663	932	471
664	933	470
665	935	468
666	936	467
667	937	466
668	939	464
669	940	463
670	941	461
671	943	460
672	945	459
673	946	457
674	947	456
675	948	454
676	949	453
677	951	451
678	952	450
679	953	448
680	955	447
681	956	446
682	957	444
683	959	443
684	960	441
685	961	440
686	962	438
687	963	436
688	964	435
689	965	433
690	966	432
691	968	430
692	969	429
693	971	428
694	972	426
695	973	425
696	974	423
697	976	422
698	977	420
699	978	419
700	979	417
701	981	416
702	982	414
703	983	413
704	984	411
705	985	410
706	986	408
707	988	407
708	989	405
709	990	404
710	991	403
711	992	401
712	993	400
713	994	398
714	996	397
715	997	395
716	998	394
717	999	392
718	1001	391
719	1002	390
720	1003	388
721	1005	387
722	1006	385
723	1007	384
724	1008	382
725	1009	381
726	1011	379
727	1012	378
728	1013	376
729	1014	375
730	1016	373
731	1017	372
732	1018	371
733	1020	369
734	1021	368
735	1023	367
736	1024	365
737	1025	364
738	1026	362
739	1028	361
740	1029	359
741	1030	358
742	1032	357
743	1033	355
744	1034	354
745	1035	352
746	1036	351
747	1037	349
748	1039	348
749	1040	346
750	1041	345
751	1042	343
752	1043	342
753	1045	340
754	1046	339
755	1047	338
756	1048	336
757	1049	335
758	1050	333
759	1051	332
760	1052	330
761	1054	329
762	1055	327
763	1056	326
764	1057	324
765	1058	323
766	1059	321
767	1060	320
768	1062	319
769	1063	317
770	1064	316
771	1065	314
772	1066	313
773	1067	311
774	1068	310
775	1069	308
776	1071	307
777	1071	305
778	1072	304
779	1074	302
780	1075	301
781	1076	300
782	1078	298
783	1079	297
784	1081	296
785	1082	294
786	1084	293
787	1086	292
788	1087	290
789	1088	289
790	1090	288
791	1091	286
792	1092	285
793	1094	283
794	1095	282
795	1096	281
796	1097	279
797	1098	278
798	1100	276
799	1101	275
800	1102	273
801	1104	272
802	1105	271
803	1106	269
804	1107	268
805	1109	266
806	1110	265
807	1111	264
808	1113	262
809	1114	261
810	1115	259
811	1116	258
812	1117	257
813	1119	255
814	1120	254
815	1121	252
816	1122	251
817	1123	249
818	1124	248
819	1125	247
820	1126	245
821	1128	244
822	1129	242
823	1130	241
824	1131	240
825	1132	238
826	1134	237
827	1135	235
828	1137	234
829	1138	233
830	1140	231
831	1141	230
832	1143	229
833	1144	227
834	1145	226
835	1147	225
836	1148	223
837	1149	222
838	1151	220
839	1152	219
840	1154	218
841	1155	216
842	1156	215
843	1158	214
844	1159	212
845	1160	211
846	1162	209
847	1163	208
848	1164	207
849	1166	205
850	1167	204
851	1168	202
852	1169	201
853	1171	200
854	1172	198
855	1173	197
856	1175	196
857	1176	194
858	1177	193
859	1178	191
860	1180	190
861	1181	189
862	1182	187
863	1183	186
864	1185	184
865	1186	183
866	1187	182
867	1188	180
868	1190	179
869	1191	178
870	1193	176
871	1194	175
872	1195	173
873	1196	172
874	1197	171
875	1198	169
876	1199	168
877	1201	166
878	1202	165
879	1203	164
880	1204	162
881	1206	161
882	1207	159
883	1208	158
884	1210	157
885	1211	155
886	1212	154
887	1214	153
888	1215	151
889	1216	150
890	1218	149
891	1219	147
892	1220	146
893	1221	144
894	1223	143
895	1224	142
896	1225	140
897	1226	139
898	1228	138
899	1230	136
900	1231	135
901	1233	133
902	1234	132
903	1236	131
904	1237	129
905	1238	128
906	1239	127
907	1241	125
908	1242	124
909	1243	122
910	1244	121
911	1245	120
912	1246	118
913	1248	117
914	1249	116
915	1251	114
916	1252	113
917	1253	112
918	1255	110
919	1256	109
920	1257	107
921	1258	106
922	1260	105
923	1261	103
924	1263	102
925	1264	101
926	1266	99
927	1267	98
928	1269	97
929	1270	95
930	1271	94
931	1272	92
932	1273	91
933	1275	90
934	1276	88
935	1278	87
936	1279	86
937	1281	84
938	1282	83
939	1283	81
940	1285	80
941	1286	79
942	1287	77
943	1288	76
944	1289	75
945	1290	73
946	1291	72
947	1292	70
948	1293	69
949	1294	68
950	1295	66
951	1296	65
952	1298	64
953	1299	62
954	1300	61
955	1301	59
956	1302	58
957	1304	57
958	1305	55
959	1306	54
960	1307	53
961	1308	51
962	1310	50
963	1311	48
964	1312	47
965	1314	46
966	1315	44
967	1316	43
968	1317	42
969	1318	40
970	1319	39
971	1320	38
972	1321	36
973	1322	35
974	1324	33
975	1325	32
976	1326	31
977	1327	29
978	1328	28
979	1329	27
980	1331	25
981	1332	24
982	1333	23
983	1334	21
984	1335	20
985	1337	18
986	1338	17
987	1339	16
988	1340	14
989	1341	13
990	1342	12
991	1343	10
992	1344	9
993	1346	8
994	1347	6
995	1348	5
996	1350	4
997	1351	2
998	1352	1
999	1354	0
